ID,Topic ID,Topic Template ID,Duration,Technologies Topic - Topic → Created At,Technologies Topic - Topic → Created By ID,Technologies Topic - Topic → ID,Technologies Topic - Topic → Ordering,Technologies Topic - Topic → Parent ID,Technologies Topic - Topic → Tag Gable Topic,Technologies Topic - Topic → Title,Technologies Topic - Topic → Tree ID,Assignments Assignment Question Topic Mapping - Topic → Assignment Question ID,Assignments Assignment Question Topic Mapping - Topic → ID,Assignments Assignment Question Topic Mapping - Topic → Mandatory,Assignments Assignment Question Topic Mapping - Topic → Question Difficulty Type,Assignments Assignment Question Topic Mapping - Topic → Topic ID,Assignments Assignment Question Topic Mapping - Topic → Question Utility Type,Assignments Assignment Question Topic Mapping - Topic → Relevance,Assignments Assignment Question Topic Mapping - Topic → Main Topic,Assignments Assignment Question - Assignment Question → Created At,Assignments Assignment Question - Assignment Question → Created By ID,Assignments Assignment Question - Assignment Question → Deleted By ID,Assignments Assignment Question - Assignment Question → ID,Assignments Assignment Question - Assignment Question → Input,Assignments Assignment Question - Assignment Question → Peer Reviewed,Assignments Assignment Question - Assignment Question → Peer Reviewed By ID,Assignments Assignment Question - Assignment Question → Question For Assignment Type,Assignments Assignment Question - Assignment Question → Question Image,Assignments Assignment Question - Assignment Question → Question Text,Assignments Assignment Question - Assignment Question → Question Title,Assignments Assignment Question - Assignment Question → Question Type,Assignments Assignment Question - Assignment Question → Verified,Assignments Assignment Question - Assignment Question → Rating,Assignments Assignment Question - Assignment Question → Difficulty Type
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10068,21703,false,3,2185,2,10,true,2023-09-18T14:56:43.422933+05:30,822046,,10068,An Integer,false,,{1},,"Create a program that prompts the user to enter an integer, converts it to a floating- point number, and then prints the result.",Input an Integer,3,true,0,3
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10995,21272,false,3,2185,2,10,true,2023-10-27T13:24:18.485213+05:30,1510703,,10995,Input the target number.,true,821571,{1},,"Write a Python program that takes an integer input from the user. If the input is less than 10, raise the <code>&quot;ValueTooSmallError&quot;</code>&nbsp;exception. Handle this custom exception and display an error message.<br />
Note:- For non numeric values print the valueerror <code><strong>&quot;Invalid input. Please enter an integer. &quot;</strong></code>",Random Exception,3,true,0,3
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10993,21271,false,3,2185,2,10,true,2023-10-27T12:53:44.822608+05:30,1510703,,10993,Input the amount to be withdrawn less then 1000.,true,821571,{1},,"Write a Python program that simulates a simple ATM. The program should allow the user to withdraw money and should handle exceptions for insufficient balance and invalid input. Start with a balance of $1000.<br />
<strong>Note:- Take care of the ValueError for negative values of amount.</strong>",Simple ATM!!,3,true,0,3
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10992,21270,false,3,2185,2,10,true,2023-10-27T12:19:41.551706+05:30,1510703,,10992,Input consist of the age to be checked,true,821571,{1},,Create a custom exception class called &quot;ValueTooSmallError&quot; that inherits from the built- in &quot;Exception&quot; class. Write a Python function <code>validate_age(age)</code> that takes an age as input and raises a &quot;ValueTooSmallError&quot; exception if the age is less than 18. Handle this custom exception and print &quot;Age is too small&quot; if it is raised.,Custom Exception,3,true,0,3
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10991,21269,false,2,2185,1,10,true,2023-10-27T11:39:20.252015+05:30,1510703,,10991,"Input a list of numbers separated by spaces, and the index they want to access.",true,821571,{1},,"Write a Python function <code>safe_get_element(lst, index)</code> that takes a list <code>lst</code> and an index as input. It should return the element at the given index if it is within the valid range, and if the index is out of range, handle the &quot;IndexError&quot; exception and return <code>&quot;<strong>Index out of range&quot;</strong></code>",Index Out of Range,3,true,0,2
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10990,21268,false,2,2185,1,10,true,2023-10-27T11:17:00.470593+05:30,1510703,,10990,Two variables a & b for a/b.,true,821571,{1},,"Write a Python function <code>safe_divide(a, b)</code> that takes two numbers <code>a</code> and <code>b</code> as input and returns the result of dividing <code>a</code> by <code>b</code>. However, the function should handle the &quot;ZeroDivisionError&quot; exception and return &quot;Cannot divide by zero&quot; if <code>b</code> is zero.",Divide by Zero Exception,3,true,0,2
172067,2185,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:25:43.455193+05:30,632022,2185,1068,,true,Python exception handling,1709,10829,20965,false,2,2185,2,10,true,2023-10-20T18:22:08.438648+05:30,822046,,10829,"Since this is a functional problem, you don't have to take any input. The format for the input is:
Three integers in new lines representing low, high and customer age.

You just have to complete entryresponse() function that takes in low, high and customer age as input.
",true,1510703,{1},,"You are given age of customers in a bar which only accepts customers within a range. You are given age of a customer and your task is to throw an error based on the age of the customer. If he is above age, throw <code>&quot;Overage&quot;</code> else throw <code>&quot;Underage&quot;</code>.",Under Age,3,true,0,2
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,847,22252,false,2,2179,2,10,true,2020-06-20T07:57:27.636451+05:30,14817,,847,"<b>User Task:</b>
Since this will be a functional problem, you don't have to take input. You just have to complete the function <b>nthAP()</b> that takes the integer A, B, and N as a parameter.

<b>Constraints:</b>
-10^3 <= x <= 10^3
-10^3 <= y <= 10^3
1 <= z <= 10^4",true,664,{5},,"Given a function <code>nthAP(x, y, z)</code> that calculates the nth term of an arithmetic progression (AP) based on the first term <code>x</code>, the second term <code>y</code>, and the position <code>z</code>, your task is to complete the code inside the function to correctly calculate the nth term of the arithmetic progression. The function should return the calculated nth term.",AP series - Python,3,true,1420,2
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,3956,22243,false,2,2179,2,10,true,2022-09-01T12:02:40.797231+05:30,714721,,3956,"The first and only line contains the number.

Constraints:
-100000<=n<=100000",true,14817,{5},,Write a program to test whether a number is within 100 of 1000 or 2000.,Number Range,3,true,0,2
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,10064,22029,false,2,2179,2,10,true,2023-09-18T14:14:00.915078+05:30,822046,,10064,Two Integers,true,1541261,{1},,Write a Python program that takes two variables and swaps their values without using a third variable.,Swaping Without Variable,3,true,0,2
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,11443,22022,false,2,2179,2,10,true,2023-11-17T12:43:17.711645+05:30,1541261,,11443,"The program requests the user to input the length and width of a rectangle. The initial input corresponds to the length, followed by the width.",false,,{1},,"Write a Python program that calculates the area of a rectangle given its length and width. The program should prompt the user to enter the length and width of the rectangle, and then calculate and print the area.",Rectangle Area Calculator,3,true,0,2
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,11488,21946,false,3,2179,1,10,true,2023-11-21T15:59:19.579408+05:30,1541261,,11488,"The first line indicates your age as an integer 
The second line indicates your citizenship status (""Yes"" or ""No"") to determine your eligibility to vote.
<code> Being case sensitive take citizenship status as Yes and No </code>",true,1493278,{1},,"<p>You are creating a program to simulate a simple voting system. The program should take input from a user for their age and citizenship status and determine whether they are eligible to vote based on the following conditions:</p>

<ul>
	<li>Citizens aged 18 and above are eligible to vote.</li>
	<li>Non- citizens, regardless of age, cannot vote.</li>
</ul>",Voting Eligibility Checker,3,true,0,3
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,11487,21944,false,3,2179,2,10,true,2023-11-21T15:25:24.384553+05:30,1541261,,11487,Input your age as an integer and specify your membership status as 'yes' or 'no',true,1493278,{1},,"You&#39;re developing a simple program to assist a user in determining their eligibility for various discount offers based on their age and membership status. The program will take inputs for age and membership status (as &#39;yes&#39; or &#39;no&#39;) and use logical operators to decide whether the user qualifies for certain discounts.<br />
<br />
Predefined constraints:
<ul>
	<li>Student Discount: Age should be 25 or below, and the user must be a member (&#39;yes&#39;).</li>
	<li>Senior Citizen Discount: Age should be 60 or above, and the user must be a member (&#39;yes&#39;).</li>
	<li>Member Discount: Any user who is a member (&#39;yes&#39;) qualifies for the Member Discount.</li>
</ul>
<br />
<br />
&nbsp;",Discount Eligibility Checker,3,true,0,3
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,11483,21941,false,4,2179,2,10,true,2023-11-21T13:48:51.923531+05:30,1541261,,11483,Input your security clearance level (an integer value) and a special access code to determine whether you'll be granted access.,true,1493278,{1},,"You&#39;re tasked with creating a program that simulates a simple access control system for a secure facility. The system uses logical operators to determine access permissions based on the user&#39;s credentials. Your task is to take input from the user for their security clearance level and a special access code, the program should evaluate whether the user meets the required access criteria and grant access if the conditions are met.<br />
<br />
Predefined Conditions:
<ul>
	<li>If required_clearance_level &gt;=&nbsp;5 and required_access_code&nbsp;=&nbsp;&quot;OpenSesame&quot; then displays&nbsp;Access Granted</li>
	<li>Else Access Denied</li>
</ul>",Secure Access Control System,3,true,0,4
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,11479,21935,false,3,2179,2,10,true,2023-11-21T10:50:51.769096+05:30,1541261,,11479,Prompt the user to enter a target value representing the warehouse capacity.,true,1493278,{1},,"You are a data scientist working for a retail chain that is optimizing its inventory management system. The company aims to efficiently utilize warehouse space by grouping products based on their numerical attributes, specifically multiples of certain numbers. Create a Python program to compute the sum of all such products that are multiples of 3 or 5 below a specified threshold. This process helps in analyzing the quantities of products falling under these categories to enhance inventory organization.",Optimizing Warehouse Inventory,3,true,0,3
129341,2179,489,0 years 0 mons 0 days 1 hours 0 mins 0.0 secs,2022-06-29T13:17:35.439905+05:30,632022,2179,1062,,true,Python operators,1703,858,21915,false,2,2179,2,10,true,2020-06-20T19:03:00.876367+05:30,14817,,858,"The first line of the input contains integer X 
The first line of the input contains integer Y.

<b>Constraints:</b>
1 &le; X, Y &le; 10000",true,664,{1},,You must be familiar with various types of operators. One of the most commonly used operators in any language are increment and decrement operators. Given two numbers X and Y. Your task is to print the value of X decremented by 1 and value of Y after incremented by 1.,Increment And Decrement,3,true,1293,2
